x,y,z
0.451473,-0.652793,-0.317616
-0.279757,0.160016,0.535399
-0.076616,0.414179,0.821178
0.176664,0.0171079,-0.0275829
-0.148672,0.139652,-0.0241982
0.286636,0.333093,-0.396042
0.20185,0.0276011,-0.273289
0.055778,-0.217383,0.153622
0.189778,0.296215,0.0892607
0.174492,-0.715021,0.22745
-0.192474,-0.463953,0.375695
0.0957867,0.687238,0.411433
-0.588477,-0.436806,-0.34226
-0.176548,0.433677,0.778483
0.240488,-0.107119,0.24261
-0.228197,0.425215,0.198338
0.625015,-0.203468,-0.132117
0.231461,0.367836,0.860582
0.814255,0.195145,0.139512
0.046088,0.00921886,0.101304
-0.0274674,-0.329241,0.190376
-0.20123,0.178341,-0.667321
-0.0960639,0.0204311,0.222245
0.615932,-0.451886,0.134019
0.0547305,-0.130727,0.558664
-0.0842122,-0.601213,0.625639
-0.138316,0.0760203,-0.364347
-0.0720877,0.821988,0.381481
0.224731,0.0427386,-0.0721746
0.157898,-0.0979555,-0.536752
0.142573,0.504731,0.578912
-0.695386,-0.21141,-0.189811
-0.0918451,0.202545,0.00417569
-0.258476,-0.128056,0.706532
0.156883,0.330866,0.526983
0.327548,0.195896,0.898075
-0.277431,0.0319071,-0.0123855
-0.230309,-0.107474,0.120622
-0.236847,-0.185956,0.0866101
0.291657,0.183106,-0.47122
0.0661033,0.196563,0.0500763
-0.573705,0.215713,-0.207904
0.510303,0.175455,0.510529
-0.195591,-0.123965,0.754712
0.487454,-0.0891684,-0.505262
-0.660777,-0.458086,0.112894
0.328012,-0.0193022,-0.480728
0.816006,-0.374349,0.068815
0.0633541,0.0452709,0.570516
0.0588934,0.0160271,-0.103492
-0.334935,-0.0743889,0.616502
-0.39011,-0.229517,0.626624
-0.308373,-0.265907,0.0318623
-0.105013,-0.178715,0.438336
-0.66571,0.297058,0.555559
0.0468821,-0.522172,0.740102
-0.022401,-0.112129,0.36653
0.163025,-0.0971861,0.0715977
-0.264408,-0.0152208,0.201345
0.625979,-0.510244,-0.315132
0.19097,0.169287,-0.752593
0.198177,-0.0212546,0.206297
-0.0628721,-0.283246,0.172297
-0.0940789,0.129339,0.252851
0.167228,0.241949,0.181981
0.233809,-0.0355179,0.198443
